"stationid","x","y"
"AATR0100",21.305636,37.972666
"AGTR0100",21.297086,38.564379
"AGTR0200",21.294875,38.567124
"AGTR0300",21.295829,38.561992
"AGTR0400",21.298513,38.562643
"AITR0100",22.071299,38.251842
"AKTR0100",21.459368,38.009872
"ANTR0100",20.801832,38.866934
"APTR0100",21.425817,38.07626
"APTR0200",21.426726,38.072943
"ARTR0100",21.407259,38.163848
"ARTR0200",21.430908,38.174853
"ATTR0100",21.355781,38.435357
"ATTR0200",21.345937,38.436956
"ATTR0300",21.348266,38.434894
"ATTR0400",21.351442,38.437217
"ATTR0500",21.35385,38.434851
"AVTR0100",21.814237,38.314695
"AXTR0100",21.408532,38.165492
"BUTR0100",21.441411,38.10203
"BZTR0100",21.772888,38.27959
"DOTR0100",21.382577,38.616108
"EVTR0100",21.537186,38.361036
"EVTR0200",21.535443,38.358433
"FRTR0100",21.484964,38.074614
"GLTR0100",21.559605,38.349719
"GTTR0100",21.250457,37.852831
"KETR0100",21.466677,38.019592
"KGTR0100",21.369829,38.160777
"KGTR0200",21.380231,38.158076
"KITR0100",21.499754,38.065452
"KKTR0100",21.451912,38.041265
"KLTR0100",21.11153,37.880987
"KMTR0100",21.491014,38.156967
"KNTR0100",21.592251,38.346035
"KOTR0100",21.324267,38.006381
"KOTR0200",21.32497,38.005464
"KPTR0100",21.368985,37.996736
"KRTR0100",21.262166,37.977301
"KRTR0200",21.261286,37.976563
"KUTR0100",21.295254,37.770656
"KVTR0100",21.368104,38.039801
"LATR0100",21.422261,38.098116
"LATR0200",21.417973,38.101427
"LETR0100",21.25876,37.94226
"LETR0200",21.26742,37.941838
"LETR0300",21.262304,37.94106
"LETR0400",21.262228,37.940734
"LITR0100",21.481071,38.140467
"LKTR0100",21.11133,37.857705
"LPTR0100",21.453089,38.172445
"LPTR0200",21.461974,38.170081
"MATR0100",21.350706,38.04709
"METR0100",21.399085,38.124535
"METR0200",21.396922,38.12546
"MLTR0100",21.429218,38.363006
"MLTR0200",21.486295,38.302336
"MLTR0300",21.432152,38.374115
"MLTR0400",21.479503,38.355513
"MMTR0100",21.454833,38.193128
"MMTR0200",21.45584,38.193027
"MNTR0100",21.114329,39.043377
"MPTR0100",21.142169,38.92314
"MSTR0100",21.336077,38.708263
"MTTR0100",21.509886,38.076196
"MYTR0100",21.206687,37.937291
"MYTR0200",21.20757,37.937548
"NATR0100",21.850729,38.39032
"NETR0100",21.417029,38.017056
"NETR0200",21.415947,38.016933
"NMTR0100",21.382898,38.051089
"NMTR0200",21.382461,38.053
"NVTR0100",21.398225,38.07139
"PATR0100",21.747076,38.276862
"PATR0200",21.740176,38.244922
"PATR0300",21.752471,38.280653
"PETR0100",21.479409,38.043525
"PSTR0100",21.389184,38.021159
"PVTR0100",21.38421,38.082547
"PVTR0200",21.385174,38.076609
"PYTR0100",21.430657,37.678193
"RITR0100",21.467488,38.056895
"SATR0100",21.469812,38.104184
"STTR0100",21.309885,38.667426
"VATR0100",21.361588,38.031639
"VATR0200",21.360231,38.023955
"VOTR0100",20.884379,38.91692
